,source,target
0,@YudhaSKAlatiga,@2K
1,@emirahay82,@BangUkis
2,@kokgitugy,@avatararthur
3,@kokgitugy,@uglyducklink
4,@KanalnewsC,@KanalnewsC
5,@yoube_nv,@Gandhoyy
6,@yoube_nv,@apathoni
7,@yoube_nv,@esteh_indonesia
8,@esteh_indonesia,@specialtea
9,@esteh_indonesia,@mbaami_
10,@esteh_indonesia,@esteh
11,@esteh_indonesia,@DokterTifa
12,@esteh_indonesia,@gendissasqia
13,@esteh_indonesia,@trravelokadulu
14,@esteh_indonesia,@buildingpeace_
15,@esteh_indonesia,@mediawave_id
16,@esteh_indonesia,@TretanMuslim
17,@esteh_indonesia,@JakartaFairID
18,@esteh_indonesia,@Ghozali_Ghozalu
19,@esteh_indonesia,@AlloBankID
20,@esteh_indonesia,@esteh_indonesia
21,@esteh_indonesia,@justinbieber
22,@esteh_indonesia,@gabseknath
23,@esteh_indonesia,@marcmarquez93
24,@esteh_indonesia,@jeon97bestie
25,@esteh_indonesia,@shotbytera
26,@esteh_indonesia,@world_halu
27,@esteh_indonesia,@itsalsheridan
28,@esteh_indonesia,@hasnanfh05
29,@esteh_indonesia,@rwin4_
30,@Airam535,@esteh_indonesia
31,@tan___dez,@Holopis
32,@PrasBo,@kreshna
33,@PrasBo,@esteh_indonesia
34,@YogaFebriansya4,@bamsharyanto
35,@didi_yoyo,@esteh_indonesia
36,@gemaposID,@esteh_indonesia
37,@vdvc_talk,@Gandhoyy
38,@vdvc_talk,@esteh_indonesia
39,@ekojune,@esteh_indonesia
40,@jack82881464,@NarasiNewsroom
41,@novieardeanne,@MintZ
42,@novieardeanne,@pizzahut
43,@novieardeanne,@her_alone
44,@novieardeanne,@GiantIndo
45,@Virgosboy18,@esteh_indonesia
46,@sipeternakkadal,@CNNIndonesia
47,@sncerita,@esteh_indonesia
48,@liebgodt,@adityamfarhaan
49,@singaporean95,@esteh_indonesia
50,@portalyogya,@gandhoyy
51,@TamaVwx,@Gandhoyy
52,@TamaVwx,@esteh_indonesia
53,@indeksncom,@Indeks
54,@Fattasyah,@esteh_indonesia
55,@Irwankhairy_,@andinrahmana
56,@distanugraha,@Gandhoyy
57,@MallBassura,@esteh
58,@MallBassura,@Bassura
59,@MTlesmana,@esteh_indonesia
60,@capekbgtzzz,@esteh_indonesia
61,@wulanisdiah,@esteh
62,@rwcewe,@lynee
63,@rwcewe,@esteh_indonesia
64,@zeehidayah,@esteh_indonesia
65,@ibnu_Dahituaja,@dwannss
66,@warta21ads,@warta21ads
67,@HONNEYMOON91,@esteh_indonesia
68,@mrezzaptr,@faizalfirdaus_
69,@reynainn,@devgrohll
70,@rbgid_,@rbg
71,@Hi_pontianak,@Hi
72,@tom_mygun,@dscream_twt
73,@tom_mygun,@txtfrombrand
74,@tom_mygun,@ulett_m
75,@tom_mygun,@___sweetandsour
76,@mebestgirl_,@esteh_indonesia
77,@red_riauonline,@muthiahry
78,@zarieen_,@mangg0creamyyy
79,@BeancurdLee,@esteh_indonesia
80,@destydiyanaw,@esteh_indonesia
81,@UlilMh096,@esteh
82,@UlilMh096,@estehmanis
83,@UlilMh096,@co
84,@hs_tyan,@estehindonesia2
85,@FikriCRP,@esteh
86,@xyznana__,@FOODFESS2
87,@omniiivora,@esteh_indonesia
88,@danu_sofwan,@Utopia_family
89,@danu_sofwan,@haidharwurjanto
90,@danu_sofwan,@Ghozali_Ghozalu
91,@Hagura23,@irnadim99
92,@_puntungrokok,@InfoBekasi_IGG
93,@_puntungrokok,@infoJATIASIH
94,@mashurr_,@skapskipproject
95,@ices_rz,@sandriputrii
96,@limprathama_,@raynareswari
97,@pidada87,@GrabID
98,@dstn_indo,@esteh
99,@kupastuntasnew,@YouTube
100,@rezaalle,@jodiebianca
