,source,target
0,@Queen_Q1978,@tequieremos
1,@Georges37704025,@wdeguerpel
2,@gezegendunya75,@ProfSFindik
3,@EVERALDATLARGE,@SpectatorOz
4,@EVERALDATLARGE,@AlboMP
5,@MaraPer46623254,@NancyEs78964067
6,@shikari,@RoyalFamily
7,@shikari,@FabVeronika
8,@shikari,@KaishaWaldron
9,@shikari,@JPJarod
10,@shikari,@AlexMayer283
11,@shikari,@lesbeaann53
12,@shikari,@BBCBreaking
13,@Cliff_Reeve,@RoyalFamily
14,@SamuelAsfaw13,@afizejem
15,@Pulga_Phil_M,@rarible
16,@PbacClub,@rarible
17,@lifeasafrica,@officialABAT
18,@emirbaba,@SedefKabas
19,@uz_oguzlar,@EmmanuelMacron
20,@uz_oguzlar,@CasaReal
21,@uz_oguzlar,@JoeBiden
22,@uz_oguzlar,@AlsisiOfficial
23,@jean_marc_Nauts,@LaurentGerra
24,@jean_marc_Nauts,@RTLFrance
25,@TravelTomorrowX,@ParisJeTaime
26,@TravelTomorrowX,@RoyalFamily
27,@TravelTomorrowX,@atout_france
28,@TravelTomorrowX,@visitparisreg
29,@BeirutcomMag,@BeirutcomMag
30,@ZuhalDiser,@tcbestepe
31,@ZuhalDiser,@Akparti
32,@ZuhalDiser,@RTErdogan
33,@drzarni,@nslwin
34,@salimhja,@KeChepkirui
35,@BloomTec,@Haqeeqat_TV
36,@BloomTec,@timduncaan
37,@HavvaGenc,@RTErdogan
38,@AmelieCorbani,@OuestFrance
39,@serpilberat,@AlcayirCengiz
40,@Ww3_poltcs,@PoliticsJOE_UK
41,@mer54191803,@LoveDaBunda
42,@Contrepoints,@AdelinRemy
43,@KarwanFaidhiDri,@NwenarFatih
44,@MayGod2022,@Sucluincelemesi
45,@MayGod2022,@iletisim
46,@MayGod2022,@RoyalNavy
47,@MayGod2022,@EdRothschild
48,@MayGod2022,@FBI
49,@MayGod2022,@USArmy
50,@MayGod2022,@BillGates
51,@MayGod2022,@RoyalFamily
52,@MayGod2022,@rockcenternyc
53,@MayGod2022,@CIA
54,@MayGod2022,@Pontifex_ln
55,@MayGod2022,@UN
56,@MayGod2022,@NATO
57,@MayGod2022,@EUCouncil
58,@MayGod2022,@KremlinRussia
59,@MayGod2022,@UN_HRC
60,@MayGod2022,@RTErdogan
61,@MayGod2022,@PKU1898
62,@MayGod2022,@Cornell
63,@MayGod2022,@Yale
64,@MayGod2022,@Harvard
65,@MayGod2022,@PEnn
66,@MayGod2022,@Cambridge_Uni
67,@MayGod2022,@Princeton
68,@MayGod2022,@UniofOxford
69,@MayGod2022,@Stanford
70,@NPORadio1,@StefanPaas
71,@NPORadio1,@beatricedegraaf
72,@sifansifan36,@SahleWorkZewde
73,@AMIStaDeS_2017,@BBCWorld
74,@AMIStaDeS_2017,@GettyImages
75,@WilliamCobbett4,@geoffreyMyers1
76,@WilliamCobbett4,@trussliz
77,@WilliamCobbett4,@BWallaceMP
78,@WilliamCobbett4,@RichardJMurphy
79,@DJDylan06040642,@visitkarlsruhen
80,@Grard05542415,@refdag
81,@Grard05542415,@BenGidding
82,@NNehoreka,@ShavaHon
83,@NNehoreka,@edmnangagwa
84,@NNehoreka,@MoFA_ZW
85,@kgupta_7,@trussliz
86,@MarcusVegetable,@YouTube
87,@DrMTahir1987,@praveenswami
88,@DrMTahir1987,@ShekharGupta
89,@SylvieNeidinger,@purepeople
90,@SylvieNeidinger,@Yahoo
91,@SylvieNeidinger,@Midilibre
92,@no_retreatx,@taradublinrocks
93,@no_retreatx,@Laurieluvsmolly
94,@no_retreatx,@RandyRRQuaid
95,@yuriavista,@yuriavista
96,@veNus_2910,@Knesix
97,@veNus_2910,@van_canci
98,@sirjackwindsor,@piersmorgan
99,@sirjackwindsor,@TalkTV
100,@sirjackwindsor,@PiersUncensored
101,@Hak__Ak,@omermurat_
102,@ironworker1,@Newsweek
103,@asefwaheed,@RoyalFamily
104,@PakistaniPost47,@AtikaRehman
105,@PakistaniPost47,@drfareehafaisal
106,@PakistaniPost47,@SirajOfficial
107,@PakistaniPost47,@muftitaqiusmani
108,@PakistaniPost47,@SayeedaWarsi
109,@PakistaniPost47,@SaqibAhmedRaja
110,@PakistaniPost47,@MuftiPopalzai
111,@PakistaniPost47,@MurtazaViews
112,@PakistaniPost47,@ARSyed1
113,@PakistaniPost47,@SHKMEP
114,@PakistaniPost47,@Afzal4Gorton
115,@MerjaErapolku,@JyriKomulainen
116,@swagsteveagain,@BBCNews
117,@swagsteveagain,@itvnews
118,@swagsteveagain,@piersmorgan
119,@asg_news,@asg_news
120,@KrishnaBrjbala,@ddichorgaye
121,@AJEY388,@ImRo45
122,@AJEY388,@BCCI
123,@CarolienKrijnen,@PennyRed
124,@jftaveira1993,@freedomrideblog
125,@ArteDesintox,@artefr
126,@Annamariatrees,@op1npo
127,@maxarcidiacono,@oggisettimanale
128,@Strategies,@Conversationnel
129,@K62266,@tugce_kazaz1
